"accession","trait","ago_owu","ikenne","mokwa","combined"
"IITA-TMS-IBA000070","SPROUT",0.92,1,0.95,0.96
"IITA-TMS-IBA000070","MCMDS",1,1,1,1
"IITA-TMS-IBA000070","RTNO",187.75,155,126.5,156.42
"IITA-TMS-IBA000070","RTWT",99.43,78.77,50.51,76.24
"IITA-TMS-IBA000070","SHTWT",67.18,48.98,32.85,49.67
"IITA-TMS-IBA000070","FYLD",61.04,48.03,36.05,48.37
"IITA-TMS-IBA000070","DM",31.63,30.25,31.11,31
"IITA-TMS-IBA000070","DYLD",19.27,15.09,11.25,15.2
"IITA-TMS-IBA000070","HI",0.6,0.62,0.61,0.61
"IITA-TMS-IBA000070","L",90.26,89.98,NA,90.12
"IITA-TMS-IBA000070","A",-1.65,-0.68,NA,-1.17
"IITA-TMS-IBA000070","B",16.61,18.1,NA,17.36
"IITA-TMS-IBA000070","PLTHT",NA,232,NA,232
"NR15C1aF116P001","SPROUT",0.77,0.91,0.8,0.83
"NR15C1aF116P001","MCMDS",1,1,1,1
"NR15C1aF116P001","RTNO",154.75,137.5,120.5,137.58
"NR15C1aF116P001","RTWT",63.6,44.14,36.08,47.94
"NR15C1aF116P001","SHTWT",75.22,50.88,41.7,55.93
"NR15C1aF116P001","FYLD",39.2,27.08,23.78,30.02
"NR15C1aF116P001","DM",28.9,28.24,31.39,29.51
"NR15C1aF116P001","DYLD",11.2,7.54,7.46,8.73
"NR15C1aF116P001","HI",0.45,0.47,0.46,0.46
"NR15C1aF116P001","L",88.81,90.25,NA,89.53
"NR15C1aF116P001","A",-1.89,-0.67,NA,-1.28
"NR15C1aF116P001","B",16.79,18.87,NA,17.83
"NR15C1aF116P001","PLTHT",NA,248,NA,248
"NR15C1aF23P003","SPROUT",0.72,0.92,0.91,0.85
"NR15C1aF23P003","MCMDS",1.62,1.75,1,1.46
"NR15C1aF23P003","RTNO",142.75,135,137.5,138.42
"NR15C1aF23P003","RTWT",90.93,69.5,38.83,66.42
"NR15C1aF23P003","SHTWT",65.5,43.26,46.81,51.86
"NR15C1aF23P003","FYLD",55.8,42.33,27.55,41.89
"NR15C1aF23P003","DM",27.83,28.26,28.34,28.14
"NR15C1aF23P003","DYLD",15.52,12.3,7.83,11.88
"NR15C1aF23P003","HI",0.58,0.64,0.47,0.56
"NR15C1aF23P003","L",87.74,88.69,NA,88.22
"NR15C1aF23P003","A",-1.94,-0.42,NA,-1.18
"NR15C1aF23P003","B",31.51,30.91,NA,31.21
"NR15C1aF23P003","PLTHT",NA,176,NA,176
"NR15C1aF24P001","SPROUT",NA,0.82,0.85,0.84
"NR15C1aF24P001","MCMDS",NA,1,1,1
"NR15C1aF24P001","RTNO",NA,129,94.75,111.88
